DATE,INDPRO
1978-04-01,51.6825666666666667
1978-07-01,52.1331666666666667
1978-10-01,53.0662333333333333
1979-01-01,53.2909666666666667
1979-04-01,53.1760666666666667
1979-07-01,53.0272666666666667
1979-10-01,53.2303666666666667
1980-01-01,53.4461333333333333
1980-04-01,51.1774000000000000
1980-07-01,50.3368000000000000
1980-10-01,52.2738333333333333
1981-01-01,52.3984333333333333
1981-04-01,52.5592666666666667
1981-07-01,53.0648000000000000
1981-10-01,51.9054333333333333
1982-01-01,50.8387666666666667
1982-04-01,50.1899666666666667
1982-07-01,49.4723666666666667
1982-10-01,48.5406000000000000
1983-01-01,49.1034666666666667
1983-04-01,50.1949333333333333
1983-07-01,51.9163333333333333
1983-10-01,53.2852000000000000
1984-01-01,54.8470000000000000
1984-04-01,55.6913333333333333
1984-07-01,56.0866666666666667
1984-10-01,56.1140666666666667
1985-01-01,56.2984333333333333
1985-04-01,56.3360666666666667
1985-07-01,56.2590666666666667
1985-10-01,56.5885000000000000
1986-01-01,56.9289333333333333
1986-04-01,56.5799333333333333
1986-07-01,56.8017666666666667
1986-10-01,57.4535333333333333
1987-01-01,58.2136333333333333
1987-04-01,59.2304333333333333
1987-07-01,60.3374000000000000
1987-10-01,61.8079000000000000
1988-01-01,62.3685333333333333
1988-04-01,62.9001666666666667
1988-07-01,63.1268666666666667
1988-10-01,63.5827666666666667
1989-01-01,63.8695333333333333
1989-04-01,63.6398333333333333
1989-07-01,63.2492000000000000
1989-10-01,63.5208333333333333
1990-01-01,63.9418000000000000
1990-04-01,64.4205333333333333
1990-07-01,64.6892000000000000
1990-10-01,63.6873666666666667
1991-01-01,62.4834666666666667
1991-04-01,62.8477666666666667
1991-07-01,63.7376333333333333
1991-10-01,63.8876666666666667
1992-01-01,63.8165666666666667
1992-04-01,64.9528333333333333
1992-07-01,65.4525000000000000
1992-10-01,66.1438333333333333
1993-01-01,66.7298333333333333
1993-04-01,66.8818333333333333
1993-07-01,67.1443333333333333
1993-10-01,68.1631666666666667
1994-01-01,69.0083333333333333
1994-04-01,70.2582333333333333
1994-07-01,71.1555333333333333
1994-10-01,72.6320666666666667
1995-01-01,73.3775000000000000
1995-04-01,73.6106000000000000
1995-07-01,74.2850333333333333
1995-10-01,74.9223000000000000
1996-01-01,75.4272000000000000
1996-04-01,77.0464000000000000
1996-07-01,78.0451333333333333
1996-10-01,79.1401333333333333
1997-01-01,80.6514333333333333
1997-04-01,81.8036333333333333
1997-07-01,83.6807333333333333
1997-10-01,85.7787333333333333
1998-01-01,86.7428000000000000
1998-04-01,87.3271000000000000
1998-07-01,87.9728333333333333
1998-10-01,89.2394000000000000
1999-01-01,90.2266333333333333
1999-04-01,91.0929333333333333
1999-07-01,91.9045000000000000
1999-10-01,93.5314333333333333
2000-01-01,94.4765000000000000
2000-04-01,95.6198666666666667
2000-07-01,95.5269333333333333
2000-10-01,95.3257333333333333
2001-01-01,94.0682333333333333
2001-04-01,92.8812333333333333
2001-07-01,91.6005666666666667
2001-10-01,90.6416000000000000
2002-01-01,91.3109000000000000
2002-04-01,92.7305000000000000
2002-07-01,93.2750000000000000
2002-10-01,93.2543333333333333
2003-01-01,93.8362666666666667
2003-04-01,93.1350333333333333
2003-07-01,93.7526333333333333
2003-10-01,94.6693000000000000
2004-01-01,95.3340000000000000
2004-04-01,95.8790000000000000
2004-07-01,96.4129000000000000
2004-10-01,97.7849666666666667
2005-01-01,99.1848333333333333
2005-04-01,99.6873333333333333
2005-07-01,99.2302000000000000
2005-10-01,100.1934000000000000
2006-01-01,101.1349000000000000
2006-04-01,101.7432000000000000
2006-07-01,102.1299333333333333
2006-10-01,102.3549333333333333
2007-01-01,103.2572666666666667
2007-04-01,104.5251000000000000
2007-07-01,104.8131333333333333
2007-10-01,105.1322000000000000
2008-01-01,104.7443000000000000
2008-04-01,103.2004000000000000
2008-07-01,99.8007000000000000
2008-10-01,95.5319333333333333
2009-01-01,90.1678333333333333
2009-04-01,87.5984333333333333
2009-07-01,88.9146333333333333
2009-10-01,90.3101333333333333
2010-01-01,92.0858333333333333
2010-04-01,93.8943333333333333
2010-07-01,95.1207000000000000
2010-10-01,95.4363666666666667
2011-01-01,95.9720333333333333
2011-04-01,96.3572666666666667
2011-07-01,97.4839000000000000
2011-10-01,98.4510333333333333
2012-01-01,99.3893000000000000
2012-04-01,100.0219333333333333
2012-07-01,100.0321000000000000
2012-10-01,100.5566666666666667
2013-01-01,101.3437666666666667
2013-04-01,101.7796333333333333
2013-07-01,102.1427000000000000
2013-10-01,102.8418000000000000
2014-01-01,103.6340666666666667
2014-04-01,105.0201333333333333
2014-07-01,105.6427000000000000
2014-10-01,106.3358666666666667
2015-01-01,105.5231666666666667
2015-04-01,104.1062666666666667
2015-07-01,104.0877333333333333
2015-10-01,102.7285333333333333
2016-01-01,102.1968333333333333
2016-04-01,101.6070666666666667
2016-07-01,102.0736333333333333
2016-10-01,102.4091000000000000
2017-01-01,103.0091666666666667
2017-04-01,104.4233000000000000
2017-07-01,104.2134666666666667
2017-10-01,106.1192333333333333
2018-01-01,106.7197666666666667
2018-04-01,107.9189666666666667
2018-07-01,109.2838333333333333
2018-10-01,110.3249333333333333
2019-01-01,109.7875666666666667
2019-04-01,109.1824666666666667
2019-07-01,109.5216666666666667
